task_id,domain,canonical_url,previous_value,previous_fetched_at,audited_value,audited_normalized,confidence,evidence,status,notes,audit_file
v1_rec_001,recruiting_linkedin,https://www.linkedin.com/company/openai/,,,8880,8880.0,high,"""employees_in_linkedin"":8880",ok,Extracted structured LinkedIn employees_in_linkedin field from Bright Data.,linkedin_dataset_reaudit.csv
v1_rec_002,recruiting_linkedin,https://www.linkedin.com/company/openai/,,,10933308,10933308.0,high,"""followers"":10933308",ok,Extracted structured LinkedIn followers field from Bright Data.,ground_truth_audit.csv
v1_rec_003,recruiting_linkedin,https://www.linkedin.com/company/anthropicresearch/,,,4987,4987.0,high,"""employees_in_linkedin"":4987",ok,Extracted structured LinkedIn employees_in_linkedin field from Bright Data.,ground_truth_audit.csv
v1_rec_004,recruiting_linkedin,https://www.linkedin.com/company/anthropicresearch/,,,3388391,3388391.0,high,"""followers"":3388391",ok,Extracted structured LinkedIn followers field from Bright Data.,ground_truth_audit.csv
v1_rec_005,recruiting_linkedin,https://www.linkedin.com/company/databricks/,,,15388,15388.0,high,"""employees_in_linkedin"":15388",ok,Extracted structured LinkedIn employees_in_linkedin field from Bright Data.,linkedin_dataset_reaudit.csv
v1_rec_008,recruiting_linkedin,https://www.linkedin.com/company/nvidia/,,,5285748,5285748.0,high,"""followers"":5285748",ok,Extracted structured LinkedIn followers field from Bright Data.,ground_truth_audit.csv
v1_fin_001,finance,https://finance.yahoo.com/quote/NVDA/,,,$220.61,220.61,high,"tTradeDate"":917015400,""regularMarketTime"":1779220801,""hasPrePostMarketData"":true,""gmtoffset"":-14400,""timezone"":""EDT"",""exchangeTimezoneName"":""America/New\_York"",""regularMarketPrice"":220.61,""fiftyTwoWeekHigh"":236.54,""fiftyTwoWeekLow"":129.16,""regularMarketDayHigh"":224.48,""regularMarketDayLow"":217.91,""regularMarketVolume"":139083506,""longName"":""NVIDI",ok,Extracted Yahoo Finance regularMarketPrice from generic Bright Data scrape output.,yahoo_nvda_chart_reaudit.csv
v1_fin_002,finance,https://finance.yahoo.com/quote/AAPL/,,,$298.97,298.97,high,"tTradeDate"":345479400,""regularMarketTime"":1779220801,""hasPrePostMarketData"":true,""gmtoffset"":-14400,""timezone"":""EDT"",""exchangeTimezoneName"":""America/New\_York"",""regularMarketPrice"":298.97,""fiftyTwoWeekHigh"":303.2,""fiftyTwoWeekLow"":193.46,""regularMarketDayHigh"":300.51,""regularMarketDayLow"":296.35,""regularMarketVolume"":34842416,""longName"":""Apple I",ok,Extracted Yahoo Finance regularMarketPrice from generic Bright Data scrape output.,finance_yahoo_chart_reaudit.csv
v1_fin_003,finance,https://finance.yahoo.com/quote/TSLA/,,,$404.11,404.11,high,"TradeDate"":1277818200,""regularMarketTime"":1779220800,""hasPrePostMarketData"":true,""gmtoffset"":-14400,""timezone"":""EDT"",""exchangeTimezoneName"":""America/New\_York"",""regularMarketPrice"":404.11,""fiftyTwoWeekHigh"":498.83,""fiftyTwoWeekLow"":273.21,""regularMarketDayHigh"":405.63,""regularMarketDayLow"":393.63,""regularMarketVolume"":44824479,""longName"":""Tesla,",ok,Extracted Yahoo Finance regularMarketPrice from generic Bright Data scrape output.,finance_yahoo_chart_reaudit.csv
v1_fin_005,finance,https://finance.yahoo.com/quote/META/,,,$602.61,602.61,high,"TradeDate"":1337347800,""regularMarketTime"":1779220801,""hasPrePostMarketData"":true,""gmtoffset"":-14400,""timezone"":""EDT"",""exchangeTimezoneName"":""America/New\_York"",""regularMarketPrice"":602.61,""fiftyTwoWeekHigh"":796.25,""fiftyTwoWeekLow"":520.26,""regularMarketDayHigh"":613.93,""regularMarketDayLow"":600.56,""regularMarketVolume"":10736533,""longName"":""Meta P",ok,Extracted Yahoo Finance regularMarketPrice from generic Bright Data scrape output.,finance_yahoo_chart_reaudit.csv
